('P1_a ', 'Idade');GENERO binário;EXPERIÊNCIA PREJUDICADA SIM OU NAO;CARGOS numéricamente;MÉDIA FAIXA SALARIAL;NÍVEL COM NÚMEROS ORDINAIS;('P2_k ', 'Você está satisfeito na sua empresa atual?');PRETENDE SAIR SIM OU NAO - TARGET;ESTOU NA FORMA DE TRABALHO IDEAL?
35;0;0;1;14000;2;1;1;0
30;1;0;1;5000;1;1;1;0
32;1;0;1;10000;0;1;1;0
30;1;0;1;5000;1;0;1;1
27;1;0;1;3500;1;1;1;0
28;1;0;8;10000;0;0;1;0
34;1;0;10;14000;2;1;0;1
27;1;1;1;5000;0;1;0;1
35;1;0;1;10000;2;0;1;1
23;1;0;4;7000;1;0;1;1
35;0;1;9;3500;1;1;0;1
31;0;0;4;10000;1;1;0;1
25;1;0;4;7000;1;1;0;0
35;0;1;1;14000;1;1;0;0
36;1;0;4;10000;2;1;1;0
26;1;0;1;10000;1;1;0;0
43;1;0;9;27500;2;1;1;1
38;1;0;1;5000;0;0;1;1
29;0;0;4;10000;1;1;0;1
31;1;0;1;7000;1;1;1;1
22;1;1;0;500;1;0;1;0
38;0;0;1;3500;0;0;1;0
38;1;0;9;7000;2;1;1;0
21;1;0;1;1500;0;1;1;0
27;0;1;1;10000;1;1;0;1
49;1;1;1;14000;2;1;0;1
28;1;1;4;5000;0;0;1;1
26;1;0;1;5000;0;1;1;1
27;1;0;0;10000;0;1;1;1
27;1;1;1;5000;1;0;0;1
34;1;0;1;3500;0;0;1;1
35;0;1;5;5000;1;0;1;0
27;1;0;1;14000;1;1;0;0
39;1;0;1;7000;0;1;1;1
38;1;0;0;10000;2;0;1;0
27;1;0;4;5000;1;1;1;1
24;1;0;1;7000;2;1;1;1
26;0;0;1;7000;1;1;1;0
34;1;0;1;7000;1;0;1;1
26;0;1;1;7000;1;1;1;1
30;1;0;1;7000;1;0;1;0
32;1;0;1;5000;1;1;1;1
37;0;1;4;14000;2;1;0;1
33;0;1;4;35000;1;1;0;1
21;1;0;4;500;0;1;0;0
33;1;0;6;18000;2;1;1;1
28;0;1;7;14000;2;1;1;0
25;1;0;1;5000;1;0;1;0
30;1;0;1;10000;0;1;0;1
34;0;1;4;10000;2;1;1;0
33;1;0;4;14000;2;1;0;1
40;1;0;3;18000;1;0;1;0
32;1;0;1;7000;1;1;1;0
26;1;0;1;10000;2;1;0;1
49;1;0;1;10000;1;1;1;1
43;1;0;1;14000;2;1;0;1
39;1;0;1;5000;1;1;0;1
27;1;0;4;35000;2;1;0;1
38;1;0;9;2500;2;0;1;0
29;1;0;1;10000;1;1;1;0
27;0;1;4;14000;2;1;0;0
38;0;1;1;10000;0;1;0;0
23;1;0;3;5000;1;0;1;0
24;1;0;1;7000;2;0;1;0
24;0;1;1;2500;0;1;1;1
38;0;0;1;5000;0;1;1;0
28;1;0;4;14000;2;1;1;1
51;1;0;5;10000;2;1;1;1
36;1;0;1;14000;2;1;1;1
25;0;1;1;10000;2;1;0;0
35;0;0;1;1500;0;1;1;1
29;1;0;1;5000;0;1;0;0
29;0;1;1;7000;1;1;1;1
26;1;0;1;5000;1;0;1;0
36;1;0;4;18000;2;1;1;1
27;0;0;1;7000;1;1;1;0
27;1;0;4;3500;0;1;0;0
27;1;0;2;7000;0;0;1;1
24;0;1;1;2500;0;1;0;1
38;0;0;9;500;0;1;1;0
25;1;0;5;1500;0;1;1;0
31;1;0;1;7000;1;1;1;1
28;1;0;1;10000;1;1;1;1
31;1;0;3;18000;2;1;1;1
25;FALSO;1;1;7000;2;0;1;1
24;0;1;1;7000;1;1;1;1
32;1;1;1;10000;2;0;1;1
28;1;0;7;5000;2;0;1;0
31;0;1;1;18000;2;0;1;1
33;1;0;1;3500;1;0;1;0
24;1;1;1;10000;1;1;1;1
32;1;0;6;45000;2;0;1;1
