"('P0', 'id')","('P1_b ', 'Genero')","('P1_f_1', 'Quantidade de oportunidades de emprego/vagas recebidas')","('P1_i ', 'Estado onde mora')","('P2_f ', 'Cargo Atual')"
16et36uiixwl5v0z16et36f5mptrhire,Masculino,,Paraná (PR),Outra Opção
16k8mm4wf6mb50th15gc516k8mmguko6,Masculino,,Paraná (PR),Analista de Dados/Data Analyst
16l76zisslhjs0716l76zpv3tyj52d37,Feminino,0.0,Minas Gerais (MG),Analista de Negócios/Business Analyst
16mgsdgqtqu1o0pn16mgsq6e4jm92ez6,Feminino,0.0,Minas Gerais (MG),Analista de Dados/Data Analyst
16wdanesw1yq8w2u16wda283yt4f4omf,Masculino,,Santa Catarina (SC),Analista de BI/BI Analyst
16wryqj46013oggwjv19x16wryqet4c6,Masculino,,Rio Grande do Sul (RS),Engenheiro de Machine Learning/ML Engineer/AI Engineer
17n1wbcm7qvd90xv217n1wvqxseyngeo,Masculino,,São Paulo (SP),Outra Opção
17umw4ljr40d31fhz5bg717umj1n0e6x,Masculino,,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
180i6uzbqcoyxcwz180i6uoxfasuuhyy,Masculino,,São Paulo (SP),Analista de Negócios/Business Analyst
184i99d8ozm0xjbaccur184i99dsgue6,Masculino,,São Paulo (SP),
18b3my90jdti4tgr18b3my9xgz9hbjqc,Masculino,,São Paulo (SP),Analytics Engineer
18o6p3cbidf2joqwcv7218o6p3ah4k0h,Masculino,,,Analista de Dados/Data Analyst
18xp1g9xmd9umdi2z18x4rut1864ze7r,Feminino,0.0,Paraná (PR),Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)
19713jevp4e9y719713upwbacxfgroxc,Masculino,,Rio de Janeiro (RJ),Analista de BI/BI Analyst
19ney6nnqmjyf6d19nf9jmw3vq2hc8nf,Feminino,1.0,São Paulo (SP),Analista de Negócios/Business Analyst
1a1yogk12t463rcus1a1yw5n0jmjlym4,Masculino,,Santa Catarina (SC),Analista de Dados/Data Analyst
1afpal0496ft891afi9wkyn4lihfcrhi,Masculino,,Santa Catarina (SC),
1afqe921s4n6eh561afqetzmpd7et4jw,Masculino,0.0,São Paulo (SP),Analista de Suporte/Analista Técnico
1atilfmpb11xrzj8s341atiwrkhv7ftp,Feminino,0.0,São Paulo (SP),Analista de Negócios/Business Analyst
1awxzymi8qib41awxw4zm1g4ikoqvuvv,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
1b10wnsk3b20va1m851b10wadgie37ov,Feminino,1.0,Pernambuco (PE),
1b53o5zcvhb61i1b53o5jipgdvps94bu,Masculino,0.0,São Paulo (SP),Analista de Dados/Data Analyst
1bd2w0vsb6r6p1bd2m6yf2mmigwe6z7u,Masculino,,Mato Grosso do Sul (MS),
