Idade,Genero,Cor/raca/etnia,PCD,Oportunidade de Progressão de Carreira,UF,Regiao onde mora,Nivel de Ensino,Area de Formação,Situação atual de Trabalho,Setor,Cargo,Nivel,Forma de Trabalho,Atuação
27,Masculino,Branca,Não,,PR,Sul,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Setor Automotivo,Cientista de Dados/Data Scientist,Júnior,Modelo híbrido com dias fixos de trabalho presencial,Ciência de Dados
27,Masculino,Branca,Não,,SP,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Finanças ou Bancos,,,Modelo híbrido com dias fixos de trabalho presencial,Gestor
27,Feminino,Branca,Não,1.0,RS,Sul,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Finanças ou Bancos,Economista,Pleno,Modelo 100% presencial,Análise de Dados
29,Masculino,Branca,Não,,PR,Sul,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,Modelo 100% remoto,Engenharia de Dados
23,Feminino,Branca,Não,,BA,Nordeste,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Somente Estudante (pós-graduação),,,,,Buscando oportunidade na área de dados
23,Masculino,Preta,Não,0.0,RS,Sul,Estudante de Graduação,Outras Engenharias,Empregado (CLT),Finanças ou Bancos,Analista de Dados/Data Analyst,Pleno,Modelo 100% remoto,Engenharia de Dados
26,Masculino,Branca,Não,,MT,Centro-oeste,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Finanças ou Bancos,Analista de BI/BI Analyst,Pleno,Modelo 100% presencial,Análise de Dados
33,Masculino,Amarela,Não,,SP,Sudeste,Pós-graduação,Outras Engenharias,Empregado (CLT),Finanças ou Bancos,Analista de Dados/Data Analyst,Sênior,Modelo 100% remoto,Análise de Dados
24,Masculino,Branca,Não,,RJ,Sudeste,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Outra Opção,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,Modelo 100% remoto,Engenharia de Dados
26,Feminino,Branca,Não,,RJ,Sudeste,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Tecnologia/Fábrica de Software,Analista de Negócios/Business Analyst,Sênior,Modelo híbrido com dias fixos de trabalho presencial,Outra atuação
