Idade,Genero,Cor/raca/etnia,PCD,Oportunidade de Progressão de Carreira,UF,Regiao onde mora,Nivel de Ensino,Area de Formação,Situação atual de Trabalho,Setor,Cargo,Nivel,Forma de Trabalho,Atuação
45,1,0,0,0,20,3,3,0,0,19,3,2,2,3
33,1,0,1,0,15,3,2,0,0,19,7,1,2,2
45,1,0,0,0,18,2,4,0,0,13,10,2,2,0
28,0,3,0,0,4,1,2,1,0,7,5,1,0,3
42,0,1,0,1,24,2,3,1,0,19,3,2,0,2
22,1,3,0,1,24,2,2,3,0,3,3,1,0,1
33,1,0,0,1,15,3,4,0,0,19,0,1,2,1
34,1,3,1,0,23,3,1,7,2,3,5,0,2,1
22,1,3,0,0,24,2,1,5,1,11,0,0,2,1
36,1,0,0,1,25,1,2,1,0,3,7,2,2,1
32,0,1,0,0,24,2,3,0,0,13,6,2,2,2
24,1,0,0,1,15,3,3,1,0,19,0,0,1,1
32,0,1,0,0,23,3,3,3,0,5,0,2,2,1
46,1,1,0,1,12,2,3,0,0,5,14,1,2,3
33,1,3,0,0,23,3,5,7,0,5,10,2,2,0
33,0,1,0,0,24,2,2,4,0,3,6,1,0,2
42,0,1,0,1,12,2,4,0,0,19,6,2,2,2
24,1,3,0,0,24,2,2,0,2,4,3,0,0,1
28,1,0,0,0,15,3,4,5,0,2,4,0,2,1
23,1,0,0,1,24,2,2,0,0,19,3,0,2,3
21,0,2,0,1,6,4,1,7,2,19,4,0,2,1
26,0,0,1,0,18,2,3,0,0,12,6,1,0,2
33,1,0,0,1,24,2,4,8,0,19,6,1,2,2
27,0,3,0,0,19,1,4,7,0,19,10,1,2,0
29,1,1,0,1,24,2,4,7,0,3,6,2,0,2
21,1,0,0,1,18,2,1,2,2,19,0,0,2,1
26,0,1,0,1,18,2,2,1,0,3,0,1,2,1
33,0,3,0,1,18,2,2,0,1,2,6,2,2,2
33,1,0,0,1,12,2,3,6,0,3,0,0,2,3
22,1,0,0,1,24,2,2,1,0,14,0,1,2,1
38,1,0,0,1,23,3,3,2,0,2,4,2,0,1
30,0,1,0,1,12,2,2,0,0,3,1,2,2,1
30,1,3,0,0,20,3,4,3,0,5,1,1,2,1
25,1,0,0,1,15,3,2,2,0,3,1,0,2,2
32,1,0,0,1,15,3,4,2,0,19,10,1,2,0
39,0,3,0,0,24,2,3,0,0,19,16,2,2,0
36,0,3,0,0,6,4,3,0,6,19,6,0,1,2
38,1,0,0,0,18,2,5,3,0,13,10,0,0,0
44,0,0,1,1,6,4,5,6,0,19,3,2,1,1
32,1,3,0,0,4,1,1,0,1,3,0,1,2,1
27,1,0,0,0,24,2,2,6,0,11,3,0,1,3
33,1,0,0,1,18,2,0,0,0,19,0,1,2,1
25,1,3,0,1,18,2,2,0,0,12,6,2,0,2
29,0,1,0,0,18,2,3,1,0,8,0,1,2,1
28,1,0,0,0,24,2,2,1,0,14,1,0,1,1
41,1,3,0,1,5,1,3,0,0,14,0,2,2,3
24,0,3,0,0,15,3,1,0,1,3,5,1,1,0
29,1,2,0,0,24,2,2,7,0,19,4,1,2,1
30,1,0,0,0,15,3,2,1,0,19,11,0,1,1
27,1,3,0,0,5,1,2,7,0,14,1,1,2,1
30,1,3,0,1,25,1,3,0,0,19,6,1,0,2
36,0,3,0,1,8,4,2,7,0,15,6,2,1,2
27,1,0,0,0,16,1,3,6,0,5,1,0,2,1
23,1,0,0,0,15,3,2,0,0,19,10,0,2,0
37,1,0,0,0,18,2,2,4,0,5,3,2,0,1
32,1,0,0,1,15,3,5,7,0,19,7,2,2,2
34,1,0,0,1,20,3,3,0,0,3,6,1,2,2
26,0,1,0,1,24,2,2,0,0,16,0,0,1,1
28,1,0,0,1,15,3,2,7,0,7,12,0,1,1
24,1,3,0,1,6,4,2,1,0,19,0,0,0,1
34,1,0,0,1,8,4,0,0,0,3,6,0,2,2
21,1,0,0,0,24,2,1,0,2,19,11,0,2,3
28,1,1,0,0,23,3,2,1,0,19,13,1,2,1
27,1,0,0,1,24,2,2,7,1,3,5,1,2,2
23,0,3,0,0,24,2,1,1,0,19,3,0,1,3
29,0,1,0,0,24,2,4,0,0,19,10,2,2,0
27,1,0,0,1,1,1,2,3,0,2,3,0,1,3
27,1,0,0,0,23,3,3,1,0,7,0,2,2,1
47,1,0,0,0,24,2,2,3,0,16,3,1,1,3
18,1,0,0,1,24,2,1,0,2,19,11,0,2,3
23,0,0,1,1,16,1,1,0,2,14,10,0,2,0
37,1,0,0,1,8,4,2,4,0,7,13,0,1,3
36,1,2,0,0,24,2,5,5,0,8,10,1,2,0
34,0,3,0,1,24,2,2,0,0,3,6,1,2,2
42,0,1,0,1,24,2,3,2,0,16,6,2,0,1
28,0,1,0,0,4,1,3,1,0,2,7,2,2,2
21,1,3,0,0,24,2,1,3,0,3,0,0,0,1
45,0,3,0,1,6,4,3,0,6,19,11,2,2,3
28,0,3,0,0,15,3,2,1,0,5,3,0,1,1
29,1,0,0,0,12,2,2,1,0,10,6,0,2,2
47,1,0,1,0,24,2,3,7,0,12,12,2,1,3
27,0,1,0,1,24,2,3,0,0,14,1,0,1,1
29,1,3,0,0,12,2,3,7,0,3,4,2,0,1
28,1,3,0,0,20,3,2,5,0,17,17,2,2,3
26,0,3,0,0,24,2,2,0,0,19,10,2,2,0
24,1,3,0,0,24,2,2,6,0,11,0,1,2,1
26,1,0,0,0,15,3,3,7,0,5,10,0,2,0
42,1,0,0,0,24,2,5,8,3,11,5,2,2,2
27,1,0,0,0,24,2,2,0,0,3,10,2,0,1
56,1,0,0,0,23,3,2,1,3,18,0,0,0,1
20,0,1,0,0,6,4,1,0,2,2,10,0,2,1
41,1,3,0,0,23,3,0,0,0,7,3,1,1,3
29,1,0,0,0,18,2,3,4,0,19,4,2,2,1
25,0,1,0,0,24,2,2,0,0,14,6,1,2,2
30,1,0,0,1,16,1,1,7,2,19,10,0,1,1
33,1,0,0,1,8,4,3,0,0,7,6,2,2,2
33,0,3,0,1,24,2,3,1,0,19,7,1,0,2
32,0,1,0,1,24,2,3,0,0,3,10,1,2,0
33,1,0,0,1,15,3,2,7,0,3,14,2,0,1
38,1,0,0,0,24,2,4,7,0,6,1,0,0,1
36,0,3,0,1,23,3,3,6,0,3,7,1,0,2
34,1,0,0,0,24,2,3,0,0,12,5,2,2,2
40,0,3,0,0,12,2,3,0,0,19,10,1,2,0
23,0,3,0,0,18,2,2,1,0,19,10,1,2,0
28,0,3,0,0,24,2,3,6,0,9,10,2,0,0
40,0,1,0,1,24,2,3,4,0,19,10,2,2,0
40,1,1,0,0,12,2,0,0,0,14,3,0,2,3
28,0,3,0,0,8,4,3,0,0,5,6,2,2,2
26,1,0,0,1,16,1,2,0,0,14,6,1,0,2
26,1,3,0,1,24,2,2,5,0,6,0,1,2,2
35,0,1,0,1,6,4,4,7,0,14,7,2,2,2
25,0,1,0,0,8,4,3,0,0,19,5,0,2,3
34,1,0,0,1,24,2,3,0,0,3,6,2,2,2
38,1,0,0,1,24,2,5,8,0,19,4,2,2,1
22,1,0,0,0,23,3,2,0,0,3,10,1,2,0
25,1,0,0,0,24,2,1,7,2,19,10,0,2,0
29,1,0,0,1,24,2,2,7,0,10,6,0,2,2
29,0,3,0,1,24,2,5,8,0,5,16,1,2,0
34,1,3,0,0,12,2,4,2,0,3,10,2,0,0
32,1,1,0,1,18,2,2,0,1,10,6,1,2,2
47,1,3,0,1,6,4,3,1,0,19,3,2,2,3
26,1,0,0,1,24,2,2,0,0,19,10,1,2,0
39,0,3,0,1,4,1,3,0,1,10,7,2,2,1
34,1,3,0,1,6,4,4,1,0,19,10,2,2,0
32,1,2,0,0,24,2,3,0,0,3,0,2,0,0
29,1,0,0,1,24,2,2,6,0,3,1,1,2,2
26,0,3,0,1,24,2,2,0,0,14,0,2,2,2
24,1,4,0,0,8,4,2,5,1,3,0,1,2,1
27,1,0,0,0,12,2,2,7,0,19,6,1,1,2
27,1,5,0,1,24,2,2,0,4,14,6,1,2,2
36,1,0,0,0,12,2,3,0,0,3,7,2,0,2
39,1,0,0,0,24,2,3,0,0,19,10,0,2,0
27,0,3,0,0,12,2,2,7,0,16,6,1,2,2
28,0,3,0,1,15,3,2,0,1,3,10,2,2,0
25,1,3,0,1,24,2,1,0,0,19,5,0,2,3
32,0,3,0,1,24,2,3,3,1,14,0,0,2,1
38,0,0,1,0,19,1,1,0,0,7,3,0,1,1
32,0,3,0,1,24,2,3,0,0,14,11,0,1,3
26,1,0,0,1,24,2,2,6,2,3,6,0,2,2
27,1,3,0,0,8,4,3,2,0,8,7,2,2,1
40,1,0,0,0,8,4,2,1,0,5,3,1,1,1
30,1,3,0,1,24,2,3,2,0,19,10,2,2,0
20,1,1,0,1,8,4,1,4,1,15,4,0,2,1
36,0,3,1,1,12,2,3,7,0,7,3,0,2,3
26,0,1,0,1,4,1,1,0,0,5,0,1,2,1
40,1,3,0,1,6,4,1,0,0,2,11,0,0,3
51,1,0,0,1,24,2,3,2,0,5,0,2,2,1
26,0,1,0,1,18,2,2,7,0,4,10,1,0,0
43,1,0,0,0,6,4,4,3,6,19,0,1,1,1
33,1,0,0,0,24,2,3,0,0,5,3,2,2,3
31,1,0,0,1,12,2,2,0,0,3,0,2,2,1
37,1,0,0,0,24,2,3,1,0,19,1,0,2,3
