('P1_a ', 'Idade');('P1_a_1 ', 'Faixa idade');('P1_b ', 'Genero');('P1_c ', 'Cor/raca/etnia');('P1_f ', 'aspectos_prejudicados');;;;('P1_f_4', 'Oportunidades de progressão de carreira');('P1_f_5', 'Velocidade de progressão de carreira');('P1_i ', 'Estado onde mora');('P1_i_1 ', 'uf onde mora');('P1_i_2 ', 'Regiao onde mora');('P2_a ', 'Qual sua situação atual de trabalho?');('P2_b ', 'Setor');('P2_f ', 'Cargo Atual');('P2_l ', 'Qual o principal motivo da sua insatisfação com a empresa atual?');('P2_l_1 ', 'Falta de oportunidade de crescimento no emprego atual');('P2_r ', 'Atualmente qual a sua forma de trabalho?');('P4_a_1 ', 'Atuacao')
22;22-24;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Estagiário;Finanças ou Bancos;Analista de Dados/Data Analyst;Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Falta de maturidade analítica na empresa;1;Modelo 100% presencial;Análise de Dados
29;25-29;Masculino;Preta;Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas;;;;0;0;Espírito Santo (ES);ES;Sudeste;Empregado (CLT);Finanças ou Bancos;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
32;30-34;Masculino;Branca;;;;;;;Rio Grande do Sul (RS);RS;Sul;Empregado (CLT);Finanças ou Bancos;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Engenharia de Dados
38;35-39;Feminino;Branca;;;;;;;Espírito Santo (ES);ES;Sudeste;Empregado (CLT);Indústria;Outra Opção;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Outra atuação
62;55+;Masculino;Parda;Senioridade das vagas recebidas em relação à sua experiência, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho;;;;0;0;São Paulo (SP);SP;Sudeste;Desempregado e não estou buscando recolocação;;;;;;Outra atuação
27;25-29;Masculino;Branca;;;;;;;Paraná (PR);PR;Sul;Estagiário;Setor Automotivo;Cientista de Dados/Data Scientist;;;Modelo híbrido com dias fixos de trabalho presencial;Ciência de Dados
27;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;;Salário atual não corresponde ao mercado, Falta de maturidade analítica na empresa, Falta de oportunidade de crescimento no emprego atual;1;Modelo híbrido com dias fixos de trabalho presencial;Gestor
27;25-29;Feminino;Branca;Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho;;;;1;0;Rio Grande do Sul (RS);RS;Sul;Empregado (CLT);Finanças ou Bancos;Economista;;;Modelo 100% presencial;Análise de Dados
29;25-29;Masculino;Branca;;;;;;;Paraná (PR);PR;Sul;Empregado (CLT);Tecnologia/Fábrica de Software;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
23;22-24;Feminino;Branca;;;;;;;Bahia (BA);BA;Nordeste;Somente Estudante (pós-graduação);;;;;;Buscando oportunidade na área de dados
23;22-24;Masculino;Preta;Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Quantidade de oportunidades de emprego/vagas recebidas;;;;0;1;Rio Grande do Sul (RS);RS;Sul;Empregado (CLT);Finanças ou Bancos;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Engenharia de Dados
26;25-29;Masculino;Branca;;;;;;;Mato Grosso (MT);MT;Centro-oeste;Empregado (CLT);Finanças ou Bancos;Analista de BI/BI Analyst;;;Modelo 100% presencial;Análise de Dados
33;30-34;Masculino;Amarela;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
24;22-24;Masculino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Empregado (CLT);Outra Opção;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
26;25-29;Feminino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;Analista de Negócios/Business Analyst;;;Modelo híbrido com dias fixos de trabalho presencial;Outra atuação
28;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Outra Opção;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Engenharia de Dados
