('P1_a ', 'Idade');('P1_a_1 ', 'Faixa idade');('P1_b ', 'Genero');('P1_c ', 'Cor/raca/etnia');('P1_f ', 'aspectos_prejudicados');;;;('P1_f_4', 'Oportunidades de progressão de carreira');('P1_f_5', 'Velocidade de progressão de carreira');('P1_i ', 'Estado onde mora');('P1_i_1 ', 'uf onde mora');('P1_i_2 ', 'Regiao onde mora');('P2_a ', 'Qual sua situação atual de trabalho?');('P2_b ', 'Setor');('P2_f ', 'Cargo Atual');('P2_l ', 'Qual o principal motivo da sua insatisfação com a empresa atual?');('P2_l_1 ', 'Falta de oportunidade de crescimento no emprego atual');('P2_r ', 'Atualmente qual a sua forma de trabalho?');('P4_a_1 ', 'Atuacao')
29;25-29;Masculino;Branca;;;;;;;Rio Grande do Sul (RS);RS;Sul;Empregado (CLT);Finanças ou Bancos;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Ciência de Dados
28;25-29;Masculino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;;Salário atual não corresponde ao mercado, Gostaria de receber mais benefícios;0;Modelo 100% presencial;Gestor
36;35-39;Feminino;Branca;Senioridade das vagas recebidas em relação à sua experiência, Oportunidades de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho;;;;1;0;São Paulo (SP);SP;Sudeste;Empregado (CLT);Setor Alimentício;;;;Modelo híbrido com dias fixos de trabalho presencial;Gestor
29;25-29;Masculino;Preta;Quantidade de oportunidades de emprego/vagas recebidas;;;;0;0;Maranhão (MA);MA;Nordeste;Empregado (CLT);Finanças ou Bancos;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
29;25-29;Feminino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Indústria;Analista de Dados/Data Analyst;Não tenho uma boa relação com meu líder/gestor;0;Modelo 100% remoto;Análise de Dados
27;25-29;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Área de Consultoria;Analista de BI/BI Analyst;Gostaria de trabalhar em em outra área de atuação, Falta de oportunidade de crescimento no emprego atual, Falta de maturidade analítica na empresa;1;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
50;50-54;Masculino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Empregado (CLT);Seguros ou Previdência;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
29;25-29;Masculino;Branca;;;;;;;Pernambuco (PE);PE;Nordeste;Empregado (CLT);Tecnologia/Fábrica de Software;Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
33;30-34;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;;Falta de oportunidade de crescimento no emprego atual, Falta de maturidade analítica na empresa;1;Modelo 100% remoto;Gestor
25;25-29;Masculino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Desempregado, buscando recolocação;;;;;;Buscando oportunidade na área de dados
19;17-21;Feminino;Branca;Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho;;;;0;0;São Paulo (SP);SP;Sudeste;Estagiário;Finanças ou Bancos;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Engenharia de Dados
39;35-39;Masculino;Branca;;;;;;;Santa Catarina (SC);SC;Sul;Empreendedor ou Empregado (CNPJ);Área de Consultoria;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Gostaria de receber mais benefícios;0;Modelo 100% remoto;Engenharia de Dados
37;35-39;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Varejo;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Gestor
25;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Cientista de Dados/Data Scientist;;;Modelo híbrido com dias fixos de trabalho presencial;Ciência de Dados
28;25-29;Feminino;Parda;Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias;;;;0;0;São Paulo (SP);SP;Sudeste;Empregado (CLT);Setor Imobiliário/ Construção Civil;Analista de Negócios/Business Analyst;"Falta de ""match"" com a cultura da minha área e empresa";0;Modelo 100% remoto;Análise de Dados
39;35-39;Masculino;Preta;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Educação;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
28;25-29;Masculino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;Analista de BI/BI Analyst;Gostaria de trabalhar em em outra área de atuação, Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado;1;Modelo 100% remoto;Análise de Dados
41;40-44;Feminino;Branca;Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho;;;;1;1;Rio de Janeiro (RJ);RJ;Sudeste;Empregado (CLT);Área de Consultoria;Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);O clima de trabalho/ambiente não é bom, Não tenho uma boa relação com meu líder/gestor;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Ciência de Dados
37;35-39;Masculino;Parda;;;;;;;Ceará (CE);CE;Nordeste;Empregado (CLT);Área da Saúde;Analista de Dados/Data Analyst;;;Modelo 100% presencial;Análise de Dados
25;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% presencial;Engenharia de Dados
27;25-29;Feminino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Outra Opção;Analista de BI/BI Analyst;;;Modelo 100% remoto;Análise de Dados
34;30-34;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Gostaria de receber mais benefícios;1;Modelo 100% remoto;Engenharia de Dados
27;25-29;Feminino;Branca;Aprovação em processos seletivos/entrevistas;;;;0;0;Rio Grande do Sul (RS);RS;Sul;Empregado (CLT);Setor Automotivo;Outra Opção;Falta de oportunidade de crescimento no emprego atual, Gostaria de trabalhar em em outra área de atuação, Salário atual não corresponde ao mercado;1;Modelo 100% presencial;Análise de Dados
27;25-29;Feminino;Branca;Atenção dada pelas pessoas diante das minhas opiniões e ideias;;;;0;0;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Área de Consultoria;Analista de Dados/Data Analyst;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
51;50-54;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Freelancer;Área de Consultoria;;;;Modelo 100% remoto;Gestor
28;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Internet/Ecommerce;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Falta de maturidade analítica na empresa;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Engenharia de Dados
24;22-24;Feminino;Branca;;;;;;;Distrito Federal (DF);DF;Centro-oeste;Somente Estudante (pós-graduação);;;;;;Buscando oportunidade na área de dados
32;30-34;Masculino;Preta;;;;;;;Ceará (CE);CE;Nordeste;Empregado (CLT);Área de Consultoria;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
27;25-29;Masculino;Branca;;;;;;;Rio Grande do Sul (RS);RS;Sul;Empregado (CLT);Finanças ou Bancos;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
29;25-29;Masculino;Preta;Aprovação em processos seletivos/entrevistas, Quantidade de oportunidades de emprego/vagas recebidas, Oportunidades de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias;;;;1;0;Espírito Santo (ES);ES;Sudeste;Empregado (CLT);Filantropia/ONG's;Analista de Dados/Data Analyst;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Engenharia de Dados
25;25-29;Feminino;Parda;Quantidade de oportunidades de emprego/vagas recebidas, Velocidade de progressão de carreira, Relação com outros membros da empresa, em momentos de trabalho;;;;0;1;Rio de Janeiro (RJ);RJ;Sudeste;Estagiário;Tecnologia/Fábrica de Software;DBA/Administrador de Banco de Dados;;;Modelo 100% remoto;Outra atuação
53;50-54;Masculino;Branca;;;;;;;Pará (PA);PA;Norte;Desempregado, buscando recolocação;;;;;;Buscando oportunidade na área de dados
40;40-44;Masculino;Parda;;;;;;;Bahia (BA);BA;Nordeste;Empregado (CLT);Internet/Ecommerce;Analytics Engineer;;;Modelo 100% remoto;Análise de Dados
43;40-44;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;;;Modelo 100% remoto;Engenharia de Dados
34;30-34;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Analista de Dados/Data Analyst;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
28;25-29;Masculino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Estagiário;Educação;Analista de BI/BI Analyst;;;Modelo 100% presencial;Análise de Dados
35;35-39;Masculino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Varejo;Analista de Dados/Data Analyst;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
35;35-39;Masculino;Parda;;;;;;;Ceará (CE);CE;Nordeste;Empregado (CLT);Marketing;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
26;25-29;Masculino;Parda;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Internet/Ecommerce;Analista de Dados/Data Analyst;Falta de maturidade analítica na empresa;0;Modelo 100% presencial;Análise de Dados
28;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Área de Consultoria;Outra Opção;;;Modelo 100% remoto;Análise de Dados
26;25-29;Feminino;Branca;Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho;;;;1;1;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Analytics Engineer;Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Exercendo funções de um cargo maior sem remuneração e promoção;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Engenharia de Dados
35;35-39;Masculino;Parda;;;;;;;Paraná (PR);PR;Sul;Empreendedor ou Empregado (CNPJ);Área de Consultoria;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Gestor
29;25-29;Masculino;Parda;;;;;;;Paraíba (PB);PB;Nordeste;Empregado (CLT);Varejo;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual, Gostaria de receber mais benefícios;1;Modelo 100% remoto;Engenharia de Dados
24;22-24;Feminino;Parda;;;;;;;Rio Grande do Norte (RN);RN;Nordeste;Empregado (CLT);Área de Consultoria;Analista de BI/BI Analyst;;;Modelo 100% presencial;Análise de Dados
43;40-44;Feminino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;Analista de Dados/Data Analyst;Falta de oportunidade de crescimento no emprego atual;1;Modelo 100% remoto;Análise de Dados
44;40-44;Feminino;Branca;Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Relação com outros membros da empresa, em momentos de trabalho;;;;1;1;São Paulo (SP);SP;Sudeste;Empregado (CLT);Varejo;;Gostaria de receber mais benefícios, O clima de trabalho/ambiente não é bom, Salário atual não corresponde ao mercado;0;Modelo 100% remoto;Gestor
29;25-29;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Trabalho na área Acadêmica/Pesquisador;;;;;;Buscando oportunidade na área de dados
31;30-34;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Finanças ou Bancos;Analytics Engineer;;;Modelo 100% remoto;Outra atuação
23;22-24;Feminino;Parda;Aprovação em processos seletivos/entrevistas;;;;0;0;São Paulo (SP);SP;Sudeste;Desempregado, buscando recolocação;;;;;;Buscando oportunidade na área de dados
33;30-34;Masculino;Branca;;;;;;;Santa Catarina (SC);SC;Sul;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Tecnologia/Fábrica de Software;;;;Modelo 100% remoto;Gestor
26;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Cientista de Dados/Data Scientist;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
24;22-24;Feminino;Preta;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Estagiário;Telecomunicação;Analista de Dados/Data Analyst;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
28;25-29;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Finanças ou Bancos;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Ciência de Dados
38;35-39;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Educação;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Falta de maturidade analítica na empresa;0;Modelo 100% remoto;Engenharia de Dados
19;17-21;Masculino;Outra;;;;;;;São Paulo (SP);SP;Sudeste;Somente Estudante (graduação);;;;;;Buscando oportunidade na área de dados
26;25-29;Masculino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Desempregado, buscando recolocação;;;;;;Buscando oportunidade na área de dados
31;30-34;Masculino;Branca;;;;;;;Paraná (PR);PR;Sul;Empregado (CLT);Agronegócios;Analista de BI/BI Analyst;;;Modelo 100% presencial;Análise de Dados
25;25-29;Masculino;Branca;;;;;;;Paraná (PR);PR;Sul;Empregado (CLT);Indústria;Analista de Dados/Data Analyst;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
49;45-49;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Desempregado, buscando recolocação;;;;;;Outra atuação
32;30-34;Masculino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Desempregado, buscando recolocação;;;;;;Outra atuação
40;40-44;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;;Falta de maturidade analítica na empresa, O clima de trabalho/ambiente não é bom, Salário atual não corresponde ao mercado;0;Modelo 100% remoto;Gestor
28;25-29;Masculino;Branca;;;;;;;Paraná (PR);PR;Sul;Empregado (CLT);Indústria;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual, Gostaria de receber mais benefícios;1;Modelo 100% presencial;Outra atuação
22;22-24;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Educação;Analista de Dados/Data Analyst;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
31;30-34;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empreendedor ou Empregado (CNPJ);Finanças ou Bancos;Cientista de Dados/Data Scientist;Falta de maturidade analítica na empresa, O clima de trabalho/ambiente não é bom, Estagnado profissionalmente;0;Modelo 100% presencial;Ciência de Dados
31;30-34;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;Analytics Engineer;;;Modelo 100% remoto;Análise de Dados
24;22-24;Feminino;Parda;Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho;;;;1;1;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Indústria;Analista de BI/BI Analyst;Gostaria de trabalhar em em outra área de atuação, Gostaria de receber mais benefícios;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
35;35-39;Feminino;Branca;;;;;;;Rio Grande do Sul (RS);RS;Sul;Empregado (CLT);Internet/Ecommerce;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
30;30-34;Masculino;Parda;Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho;;;;0;1;Distrito Federal (DF);DF;Centro-oeste;Servidor Público;Telecomunicação;Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);Falta de oportunidade de crescimento no emprego atual, Gostaria de trabalhar em em outra área de atuação;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
29;25-29;Masculino;Prefiro não informar;Senioridade das vagas recebidas em relação à sua experiência, Oportunidades de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias;;;;1;0;Amazonas (AM);AM;Norte;Empregado (CLT);Setor Alimentício;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Ciência de Dados
29;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Área de Consultoria;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Falta de desafios;0;Modelo 100% remoto;Engenharia de Dados
34;30-34;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Outra Opção;Analista de Dados/Data Analyst;;;Modelo 100% presencial;Análise de Dados
36;35-39;Masculino;Parda;;;;;;;Ceará (CE);CE;Nordeste;Empregado (CLT);Indústria;Analista de Dados/Data Analyst;Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual, Falta de maturidade analítica na empresa;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
24;22-24;Masculino;Parda;;;;;;;Santa Catarina (SC);SC;Sul;Empreendedor ou Empregado (CNPJ);Finanças ou Bancos;;Falta de maturidade analítica na empresa;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Gestor
27;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;Cientista de Dados/Data Scientist;Falta de oportunidade de crescimento no emprego atual, Falta de maturidade analítica na empresa, Gostaria de receber mais benefícios;1;Modelo híbrido com dias fixos de trabalho presencial;Ciência de Dados
28;25-29;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Outra Opção;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
25;25-29;Feminino;Branca;Oportunidades de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho;;;;1;0;Minas Gerais (MG);MG;Sudeste;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;;O clima de trabalho/ambiente não é bom, Salário atual não corresponde ao mercado;0;Modelo 100% presencial;Gestor
26;25-29;Masculino;Branca;;;;;;;Paraná (PR);PR;Sul;Empreendedor ou Empregado (CNPJ);Área de Consultoria;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
30;30-34;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;Analista de Negócios/Business Analyst;;;Modelo 100% presencial;Análise de Dados
28;25-29;Masculino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Empregado (CLT);Entretenimento ou Esportes;;;;Modelo 100% remoto;Gestor
25;25-29;Masculino;Parda;;;;;;;Pernambuco (PE);PE;Nordeste;Empregado (CLT);Finanças ou Bancos;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
34;30-34;Masculino;Branca;;;;;;;Paraná (PR);PR;Sul;Somente Estudante (pós-graduação);;;;;;Buscando oportunidade na área de dados
26;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Analista de Negócios/Business Analyst;Salário atual não corresponde ao mercado;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Análise de Dados
27;25-29;Feminino;Branca;Quantidade de oportunidades de emprego/vagas recebidas;;;;0;0;Ceará (CE);CE;Nordeste;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Entretenimento ou Esportes;Analista de Dados/Data Analyst;Gostaria de receber mais benefícios;0;Modelo 100% remoto;Engenharia de Dados
28;25-29;Feminino;Branca;Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas;;;;0;0;São Paulo (SP);SP;Sudeste;Empregado (CLT);Outra Opção;;Falta de maturidade analítica na empresa, O clima de trabalho/ambiente não é bom;0;Modelo 100% presencial;Gestor
33;30-34;Masculino;Branca;;;;;;;Santa Catarina (SC);SC;Sul;Empregado (CLT);Tecnologia/Fábrica de Software;Cientista de Dados/Data Scientist;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Ciência de Dados
26;25-29;Masculino;Branca;;;;;;;Bahia (BA);BA;Nordeste;Empregado (CLT);Área de Consultoria;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
29;25-29;Masculino;Preta;;;;;;;São Paulo (SP);SP;Sudeste;Empreendedor ou Empregado (CNPJ);Área de Consultoria;;;;Modelo 100% remoto;Gestor
33;30-34;Masculino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Desempregado, buscando recolocação;;;;;;Outra atuação
33;30-34;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Finanças ou Bancos;Analytics Engineer;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Engenharia de Dados
53;50-54;Feminino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Ciência de Dados
24;22-24;Masculino;Parda;;;;;;;Maranhão (MA);MA;Nordeste;Somente Estudante (graduação);;;;;;Outra atuação
45;45-49;Feminino;Parda;;;;;;;Bahia (BA);BA;Nordeste;Empregado (CLT);Varejo;;;;Modelo 100% presencial;Gestor
33;30-34;Feminino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Empregado (CLT);Tecnologia/Fábrica de Software;;;;Modelo 100% remoto;Gestor
31;30-34;Feminino;Branca;;;;;;;Rio Grande do Sul (RS);RS;Sul;Empregado (CLT);Educação;Analista de Dados/Data Analyst;;;Modelo 100% presencial;Análise de Dados
36;35-39;Masculino;Branca;;;;;;;Goiás (GO);GO;Centro-oeste;Empreendedor ou Empregado (CNPJ);Marketing;;;;Modelo 100% remoto;Gestor
32;30-34;Masculino;Amarela;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Analytics Engineer;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Engenharia de Dados
43;40-44;Masculino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Servidor Público;Setor Público;;O clima de trabalho/ambiente não é bom;0;Modelo 100% remoto;Gestor
24;22-24;Masculino;Branca;;;;;;;Pernambuco (PE);PE;Nordeste;Empregado (CLT);Área da Saúde;Cientista de Dados/Data Scientist;;;Modelo 100% remoto;Ciência de Dados
26;25-29;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Varejo;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
32;30-34;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empreendedor ou Empregado (CNPJ);Área de Consultoria;;Falta de maturidade analítica na empresa, O clima de trabalho/ambiente não é bom, Falta de oportunidade de crescimento no emprego atual;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Gestor
36;35-39;Masculino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Gestor
28;25-29;Masculino;Parda;;;;;;;Bahia (BA);BA;Nordeste;Empregado (CLT);Varejo;;;;Modelo híbrido com dias fixos de trabalho presencial;Gestor
35;35-39;Masculino;Preta;Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira;;;;1;1;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Finanças ou Bancos;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
37;35-39;Feminino;Branca;;;;;;;Distrito Federal (DF);DF;Centro-oeste;Estagiário;Setor Público;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
42;40-44;Feminino;Branca;Dificuldade de voltar ao mercado de trabalho após a maternidade;;;;0;0;São Paulo (SP);SP;Sudeste;Desempregado, buscando recolocação;;;;;;Outra atuação
27;25-29;Masculino;Branca;;;;;;;Santa Catarina (SC);SC;Sul;Empreendedor ou Empregado (CNPJ);Área de Consultoria;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Gestor
36;35-39;Masculino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Servidor Público;Setor Público;Outra Opção;Gostaria de trabalhar em em outra área de atuação;0;Modelo híbrido com dias fixos de trabalho presencial;Ciência de Dados
40;40-44;Masculino;Parda;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Empregado (CLT);Seguros ou Previdência;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Engenharia de Dados
23;22-24;Masculino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Outra Opção;Outra Opção;condições de trabalho;0;Modelo 100% presencial;Outra atuação
